municipalidad;codigo_portal
Algarrobo;MU001
Alhué;MU002
Alto del Carmen;MU004
Alto Hospicio;MU005
Ancud;MU006
Andacollo;MU007
Angol;MU008
Antofagasta;MU009
Antuco;MU010
Arauco;MU011
Arica;MU012
Aysén;MU013
Buin;MU014
Cabildo;MU016
Cabo de Hornos y Antártica;MU017
Cabrero;MU018
Calama;MU019
Calbuco;MU020
Caldera;MU021
Calera de Tango;MU022
Calle Larga;MU023
Camarones;MU024
Camiña;MU025
Canela;MU026
Carahue;MU028
Cartagena;MU029
Casablanca;MU030
Castro;MU031
Catemu;MU032
Cauquenes;MU033
Cerrillos;MU034
Cerro Navia;MU035
Chaitén;MU036
Chanco;MU037
Chañaral;MU038
Chépica;MU039
Chiguayante;MU040
Chile Chico;MU041
Chimbarongo;MU044
Cholchol;MU045
Chonchi;MU046
Cisnes;MU047
Cobquecura;MU048
Cochamó;MU049
Cochrane;MU050
Codegua;MU051
Coelemu;MU052
Coihueco;MU053
Coinco;MU054
Colbún;MU055
Colchane;MU056
Colina;MU057
Collipulli;MU058
Coltauco;MU059
Combarbalá;MU060
Concepción;MU061
Conchalí;MU062
Concón;MU063
Constitución;MU064
Contulmo;MU065
Copiapó;MU066
Coquimbo;MU067
Coronel;MU068
Corral;MU069
Coyhaique;MU070
Cunco;MU071
Curacautín;MU072
Curacaví;MU073
Curaco de Vélez;MU074
Curarrehue;MU076
Curepto;MU077
Curicó;MU078
Dalcahue;MU079
Diego De Almagro;MU080
El Bosque;MU082
El Carmen;MU083
El Monte;MU084
El Quisco;MU085
